Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Price range,Aggregate rating,Rating color,Rating text,Votes
6317637,Le Petit Souffle,162,Makati City,Third Floor; Century City Mall; Kalayaan Avenue; Poblacion; Makati City,Century City Mall; Poblacion; Makati City,Century City Mall; Poblacion; Makati City; Makati City,121.027535,14.565443,French; Japanese; Desserts,1100,Botswana Pula(P),3,4.8,Dark Green,Excellent,314
6304287,Izakaya Kikufuji,162,Makati City,Little Tokyo; 2277 Chino Roces Avenue; Legaspi Village; Makati City,Little Tokyo; Legaspi Village; Makati City,Little Tokyo; Legaspi Village; Makati City; Makati City,121.014101,14.553708,Japanese,1200,Botswana Pula(P),3,4.5,Dark Green,Excellent,591
6300002,?,162,?,Edsa Shangri-La; 1 Garden Way; Ortigas; Mandaluyong City,Edsa Shangri-La; Ortigas; Mandaluyong City,?,?,14.581404,?,?,?,?,4.4,?,?,270
6318506,Ooma,?,?,Third Floor; Mega Fashion Hall; SM Megamall; Ortigas; Mandaluyong City,?,SM Megamall; Ortigas; Mandaluyong City; Mandaluyong City,121.056475,?,Japanese; Sushi,?,Botswana Pula(P),4,4.9,Dark Green,?,365
6314302,?,?,Mandaluyong City,Third Floor; Mega Atrium; SM Megamall; Ortigas; Mandaluyong City,?,SM Megamall; Ortigas; Mandaluyong City; Mandaluyong City,?,?,Japanese; Korean,1500,?,4,?,?,Excellent,229
18189371,?,162,Mandaluyong City,?,SM Megamall; Ortigas; Mandaluyong City,?,?,?,Chinese,1000,Botswana Pula(P),?,4.4,?,?,?
6300781,Buffet 101,?,Pasay City,Building K; SM By The Bay; Sunset Boulevard; Mall of Asia Complex (MOA); Pasay City,?,?,?,?,?,2000,?,?,?,?,?,520
6301290,?,162,?,Building B; By The Bay; Seaside Boulevard; Mall of Asia Complex (MOA); Pasay City,?,?,120.9793333,?,Seafood; Filipino; Asian; European,?,?,4,?,Green,?,677
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,Plaza Level; Sofitel Philippine Plaza Manila; CCP Complex; Pasay City,?,?,120.98009,?,?,?,Botswana Pula(P),?,?,Dark Green,Excellent,621
6314987,?,?,Pasig City,?,?,Kapitolyo; Pasig City,121.056532,14.572041,?,?,?,?,4.8,Dark Green,Excellent,532
6309903,?,?,?,75 East Capitol Drive; Kapitolyo; Pasig City,Kapitolyo,Kapitolyo; Pasig City,?,14.567689,Filipino; Mexican,?,Botswana Pula(P),?,4.9,?,?,?
6309455,?,162,?,23 East Capitol Drive; Kapitolyo; Pasig City,Kapitolyo,Kapitolyo; Pasig City,121.06082,14.570849,?,?,?,?,4.2,Green,?,?
6318433,Silantro Fil-Mex,?,Quezon City,?,UP Town Center; Diliman; Quezon City,?,121.075419,14.649503,?,?,Botswana Pula(P),?,?,Dark Green,?,294
6310470,?,162,?,?,Addition Hills,Addition Hills; San Juan City,?,?,Filipino,1000,Botswana Pula(P),?,4.2,?,?,?
6314605,Sodam Korean Restaurant,162,San Juan City,?,Little Baguio,?,?,14.59889,Korean,700,?,?,4.3,?,?,?
18185059,?,?,?,?,Nuvali; Don Jose; Santa Rosa,Nuvali; Don Jose; Santa Rosa; Santa Rosa,?,?,Cafe; American; Italian; Filipino,800,Botswana Pula(P),3,3.6,?,Good,?
18182702,?,?,Santa Rosa,Ground Floor; Building G; Solenad 3; Nuvali; Don Jose; Santa Rosa,Solenad 3; Don Jose; Santa Rosa,Solenad 3; Don Jose; Santa Rosa; Santa Rosa,?,?,Italian; Pizza,850,?,?,?,Green,?,72
6318213,?,?,?,Aguinaldo Highway; Tagaytay City,?,Tagaytay City; Tagaytay City,?,14.101834,?,1200,?,?,4.5,Dark Green,Excellent,211
18255654,?,162,Taguig City,?,BGC Stopover Pavillion; Bonifacio Global City,BGC Stopover Pavillion; Bonifacio Global City; Taguig City,?,?,?,600,Botswana Pula(P),?,?,?,?,?
6308205,Wildflour Cafe + Bakery,?,Taguig City,?,?,?,?,14.549337,Cafe; Bakery; American; Italian,1500,?,?,4.4,Green,?,?
6315438,NIU by Vikings,162,?,Sixth Floor; SM Aura Premier; C5 Road Corner 26th Street; Bonifacio Global City; Taguig City,SM Aura Premier; Bonifacio Global City; Taguig City,?,?,14.545858,Seafood; American; Mediterranean; Japanese,?,?,?,?,?,?,535
6310406,?,?,?,?,?,?,?,14.54565535,American; Asian; Italian; Seafood,?,Botswana Pula(P),4,4.5,Dark Green,?,618
6600681,?,30,Bras?lia,?,Asa Norte,?,?,?,?,55,Brazilian Real(R$),2,3,Orange,Average,?
6601005,?,?,Bras?lia,?,Asa Norte,?,-47.88266667,?,?,30,?,1,3.8,?,?,?
6600292,Casa do Biscoito Mineiro,30,?,?,Asa Norte,?,?,?,Bakery,?,?,?,3.7,Yellow,?,11
6600441,Maori,?,Bras?lia,?,?,?,-47.88816667,?,?,?,Brazilian Real(R$),3,?,?,Good,11
6600970,?,30,Bras?lia,?,?,Asa Sul; Bras?lia,-47.91566667,?,?,?,?,2,3.2,?,Average,11
6600379,Sushi Loko,?,?,?,?,?,-47.91566667,-15.831,Japanese,?,Brazilian Real(R$),3,3.1,?,Average,10
6600214,Beirute,30,?,?,?,Asa Sul; Bras?lia,-47.9075,?,Arabian,?,Brazilian Real(R$),3,3.7,?,?,8
6601218,New Koto,?,Bras?lia,?,Asa Sul,Asa Sul; Bras?lia,?,?,Japanese,200,Brazilian Real(R$),?,3.7,Yellow,?,5
6600060,Sandubas Caf?,30,Bras?lia,?,?,?,?,?,?,?,?,?,0,White,Not rated,2
6600083,?,?,?,CLS 115; Bloco A; Loja 2; Asa Sul; Bras?lia,Asa Sul,Asa Sul; Bras?lia,-47.92366667,-15.83133333,Italian,?,?,4,?,?,Very Good,12
6601515,?,30,?,Rua 13 Norte; Lote 4; ?guas Claras; Bras?lia,?guas Claras,?guas Claras; Bras?lia,?,?,Pizza,?,?,4,?,?,?,9
6601361,?,?,Bras?lia,?,?guas Claras,?guas Claras; Bras?lia,-48.01909167,?,?,60,Brazilian Real(R$),3,3.6,?,?,9
6601602,Taco Pep,30,?,Vila Malls; Avenida das Castanheiras; Lote 1060; ?guas Claras; Bras?lia,?,?guas Claras; Bras?lia,?,?,?,?,?,4,?,?,?,29
6601589,Coco Bambu,?,?,Bras?lia Shopping - Piso 2; SCN 5; Bloco A; Asa Norte; Bras?lia,Bras?lia Shopping; Asa Norte,?,-47.889,-15.7865,International,?,?,4,?,?,Very Good,17
6601862,?,?,?,Fashion Park; Shis Ql 17; Bloco G; Loja 208; Lago Sul; Bras?lia,Lago Sul,?,-47.872359,?,?,?,?,4,3.6,?,?,?
6601595,?,30,Bras?lia,ParkShopping - Piso 2; SAI/SO; ?rea 6580; Guar? I; Bras?lia,ParkShopping; Guar? I,ParkShopping; Guar? I; Bras?lia,?,-15.83451389,?,150,?,?,?,Green,?,10
6601158,?,?,?,?,Pont?o Lago Sul; Lago Sul,Pont?o Lago Sul; Lago Sul; Bras?lia,-47.87283333,?,?,240,Brazilian Real(R$),?,?,?,Average,6
6600427,Coco Bambu,30,Bras?lia,?,?,?,?,-15.819,?,230,?,4,4.9,Dark Green,Excellent,?
6600116,?,30,Bras?lia,Shopping Iguatemi - piso 1; SHIN CA 4; Lote A; Lago Norte; Bras?lia,?,Shopping Iguatemi; Lago Norte; Bras?lia,?,-15.720118,?,?,?,4,3.3,?,?,8
6601457,?,?,Bras?lia,?,?,?,-47.92102778,?,American; Burger,?,?,?,?,Yellow,?,9
7303219,?,?,?,?,?,?,-43.377,?,Seafood; Bar Food; Brazilian,140,Brazilian Real(R$),4,4,?,Very Good,?
7304307,Confeitaria Colombo,30,?,?,Centro,?,?,?,Desserts; Cafe,100,?,?,4.8,Dark Green,?,?
7301215,Bibi,?,?,Rua Santa Clara; 36; Copabana; Rio de Janeiro,Copacabana,Copacabana; Rio de Janeiro,?,?,?,?,?,3,?,Dark Green,?,24
7300596,?,?,Rio de Janeiro,?,?,Copacabana; Rio de Janeiro,-43.17583333,?,Beverages; Bar Food; Fast Food,90,?,3,?,Dark Green,?,29
7300612,Amir,?,?,?,Copacabana,?,-43.176,?,?,?,?,?,4.2,Green,Very Good,11
7300704,?,30,?,?,Galeria River; Copacabana,Galeria River; Copacabana; Rio de Janeiro,-43.191,?,?,60,Brazilian Real(R$),?,?,Dark Green,Excellent,?
7300955,?,30,Rio de Janeiro,Pra?a Santos Dumont; 116; G?vea; Rio de Janeiro,?,?,?,?,Brazilian; Bar Food,100,Brazilian Real(R$),?,?,?,?,40
7300521,Balada Mix,30,Rio de Janeiro,?,Ipanema,?,?,-22.98520833,?,?,Brazilian Real(R$),3,?,?,?,21
7300515,Garota de Ipanema,30,?,Rua Vinicius de Moraes; 49; Ipanema; Rio de Janeiro,?,?,-43.203,?,Brazilian; Bar Food,?,Brazilian Real(R$),4,?,?,Excellent,?
7300483,Zaz? Bistr? Tropical,?,Rio de Janeiro,Rua Joana Ang?lica; 40; Ipanema; Rio de Janeiro,?,?,?,-22.98531944,?,?,?,4,4.6,Dark Green,?,21
7301064,?,?,Rio de Janeiro,Rua Jardim Bot?nico; 731; Jardim Bot?nico; Lagoa; Rio de Janeiro,?,Lagoa; Rio de Janeiro,?,-22.966647,?,90,?,3,?,?,?,14
7304312,D.O.C Ristorante,30,?,?,Le Monde; Barra da Tijuca,?,-43.34879167,?,Italian,150,?,4,?,Green,?,5
7300004,?,?,?,Rua Dias Ferreira; 256; Leblon; Rio de Janeiro,Leblon,Leblon; Rio de Janeiro,?,-22.98416667,Japanese,?,?,4,?,Dark Green,?,?
7300868,Talho Capixaba,?,Rio de Janeiro,Avenida Ataulfo de Paiva; 1022; Lojas A e B; Leblon; Rio de Janeiro,Leblon,?,?,-22.98516667,Bakery; Sandwich; Brazilian,?,?,?,?,?,Very Good,?
7302637,Leme Light,30,Rio de Janeiro,Rua Gustavo Sampaio; 798; Leme; Rio de Janeiro,Leme,?,-43.17279167,-22.963925,?,40,Brazilian Real(R$),?,?,?,Very Good,?
7302140,?,?,Rio de Janeiro,?,?,Leme; Rio de Janeiro,-43.17126389,-22.96337222,Brazilian; Seafood,?,?,4,?,?,?,8
7305048,Quiosque Chopp Brahma,30,?,Madureira Shopping - Loja 289/290; Piso 2; Estrada do Portela; 222; Madureira; Rio de Janeiro; RJ,?,?,?,-22.870413,Bar Food; Brazilian,?,Brazilian Real(R$),?,?,White,?,?
7302898,?,30,?,?,Santa Teresa,?,-43.18736944,?,Brazilian,?,?,4,?,?,Excellent,44
7302859,Aconchego Carioca,?,Rio de Janeiro,?,Tijuca,Tijuca; Rio de Janeiro,?,?,?,?,Brazilian Real(R$),?,?,?,?,24
7301700,Garota de Ipanema,?,?,?,Urca,?,-43.16266667,-22.94783333,Brazilian; Bar Food,?,?,3,4.3,?,Very Good,10
6706313,Cantina Famiglia Mancini,?,S?o Paulo,?,Bela Vista; Centro,?,?,-23.55066667,Italian; Pizza,?,Brazilian Real(R$),?,4.5,?,?,?
6704326,Templo da Carne - Marcos Bassi,30,S?o Paulo,?,?,Bela Vista; Centro; S?o Paulo,?,?,?,?,Brazilian Real(R$),4,?,?,?,?
6711179,?,?,S?o Paulo,?,?,?,?,-23.55616667,?,?,?,?,3.1,?,Average,5
6702797,?,30,?,Rua Ant?nio Carlos; 268; Consola??o; S?o Paulo,?,Consola??o; S?o Paulo,-46.657523,?,?,100,?,?,4.1,?,Very Good,15
6700475,?,?,?,Hotel Unique; Avenida Brigadeiro Lu?s Ant?nio; 4700; Jardim Paulista; S?o Paulo,?,?,-46.666851,?,Beverages; International,?,Brazilian Real(R$),?,?,Dark Green,Excellent,59
6713413,?,?,S?o Paulo,?,?,Itaim Bibi; S?o Paulo,-46.67511,?,French; Brazilian; Beverages,120,Brazilian Real(R$),?,?,?,Excellent,30
6714340,Red Steak & Burger,30,?,Rua Tabapu?; 1417; Itaim Bibi; S?o Paulo,?,Itaim Bibi; S?o Paulo,?,-23.585324,Brazilian; Grill,?,?,?,?,Yellow,Good,?
6710645,?,?,S?o Paulo,?,Itaim Bibi,?,?,-23.581,?,55,?,2,?,?,?,?
6700402,?,30,S?o Paulo,Rua Haddock Lobo; 1240; Cerqueira C?sar; Jardim Paulista; S?o Paulo,?,?,-46.666041,?,French,200,?,?,3.4,?,Average,?
6700846,Kawa Sushi,?,S?o Paulo,?,Jardim Paulista,Jardim Paulista; S?o Paulo,?,?,Sushi; Japanese,?,?,?,?,?,Good,?
6702159,A Figueira Rubaiyat,?,?,Rua Haddock Lobo; 1738; Cerqueira C?sar; Jardim Paulista; S?o Paulo 10000,Jardim Paulista,?,?,-23.5655,BBQ; Grill; Brazilian,?,?,?,4.3,?,Very Good,39
6711666,Kinoshita,?,S?o Paulo,Rua Jacques F?lix; 405; Vila Nova Concei??o; Moema; S?o Paulo,?,?,?,-23.59233333,?,?,?,4,?,?,?,12
6701257,Meats,?,S?o Paulo,?,?,Pinheiros; S?o Paulo,?,?,Gourmet Fast Food; Burger,?,?,?,4.3,Green,?,?
6706211,?,30,?,Pra?a Dom Jos? Gaspar; 42; Rep?blica; S?o Paulo 10000,Rep?blica,Rep?blica; S?o Paulo,?,-23.54664167,?,150,Brazilian Real(R$),?,4.3,Green,?,?
6705858,?,?,S?o Paulo,Edif?cio It?lia - 41? Andar; Avenida Ipiranga; 344; Rep?blica; S?o Paulo,?,?,-46.643425,?,?,400,?,?,?,?,Very Good,37
6701419,Divino Fog?o,30,?,Shopping Metr? Santa Cruz - Piso L2; Rua Domingos de Morais; 2564; Vila Mariana; S?o Paulo,?,Shopping Metr? Santa Cruz; Vila Mariana; S?o Paulo,?,?,?,65,?,3,0,?,Not rated,2
6703956,?,?,?,Shopping Morumbi - Piso Lazer; Avenida Roque Petroni J?nior; 1089; Santo Amaro; S?o Paulo,?,Shopping Morumbi; Santo Amaro; S?o Paulo,-46.698574,-23.622925,Brazilian,50,?,2,?,?,Not rated,2
6709580,?,?,S?o Paulo,Avenida Nossa Senhora do Loreto; 1104; Vila Medeiros; Vila Maria; S?o Paulo,Vila Maria,?,?,?,Brazilian; North Eastern,?,?,?,?,?,Very Good,22
6703176,?,?,?,Rua Concei??o Veloso; 56; Vila Mariana; S?o Paulo,Vila Mariana,?,?,?,?,?,Brazilian Real(R$),3,4.6,Dark Green,Excellent,?
6713772,?,30,?,Rua Dom Jo?o Batista da Costa; 70; Vila S?nia; S?o Paulo,?,Vila S?nia; S?o Paulo,?,-23.609207,?,?,?,4,4.1,?,Very Good,11
17284404,?,216,Albany,?,?,?,-84.221535,?,BBQ; Burger; Seafood,?,?,?,?,?,Average,35
17284203,?,?,Albany,2401 Dawson Rd; Albany; GA 31707,?,?,?,?,American; BBQ,?,Dollar($),?,3.3,Orange,?,25
17284105,?,216,Albany,?,Albany,?,-84.154,?,?,?,Dollar($),1,?,?,?,34
17284302,?,216,Albany,?,?,?,?,31.6158,?,?,Dollar($),1,?,?,?,?
17284397,?,216,Albany,2726 Ledo Rd Ste 10; Albany; GA 31707,?,?,?,?,Coffee and Tea; Sandwich,?,?,1,?,?,Average,26
17284211,Pearly's Famous Country Cookng,?,?,?,Albany,?,?,31.5882,?,?,?,1,?,Orange,Average,?
